Time,Time Code,Country Name,Country Code,"GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]",CO2 emissions (kt) [EN.ATM.CO2E.KT],"Population, total [SP.POP.TOTL]","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative) [SE.TER.CUAT.BA.ZS]",Access to electricity (% of population) [EG.ELC.ACCS.ZS],Ease of doing business score (0 = lowest performance to 100 = best performance) [IC.BUS.DFRN.XQ],"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative) [SE.PRM.CUAT.ZS]","Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]","Lower secondary completion rate, total (% of relevant age group) [SE.SEC.CMPT.LO.ZS]",Urban population (% of total population) [SP.URB.TOTL.IN.ZS]
2021,YR2021,Europe & Central Asia (excluding high income),ECA,22767.8214508966,..,401575218,..,..,..,..,..,..,68.1740241925032
2021,YR2021,Albania,ALB,14516.3143508937,..,2811666,..,..,..,..,98.4499969482422,94.9364929199219,62.969
2021,YR2021,Andorra,AND,..,..,79034,..,..,..,..,..,..,87.858
2021,YR2021,Armenia,ARM,14193.1168341231,..,2790974,..,..,..,..,..,87.8114929199219,63.431
2021,YR2021,Austria,AUT,54121.1455420496,..,8955797,..,..,..,..,..,..,58.995
2021,YR2021,Azerbaijan,AZE,14431.6610462293,..,10137750,..,..,..,..,..,107.839813232422,56.776
2021,YR2021,Belarus,BLR,19751.2039053496,..,9340314,..,..,..,..,..,99.8833618164063,79.91
2021,YR2021,Belgium,BEL,51739.537932581,..,11592952,..,..,..,..,..,..,98.117
2021,YR2021,Bosnia and Herzegovina,BIH,15663.742746228,..,3270943,..,..,..,..,98.0999984741211,..,49.425
2021,YR2021,Bulgaria,BGR,24393.7755346385,..,6877743,..,..,..,..,98.4199981689453,..,76.025
2021,YR2021,Channel Islands,CHI,..,..,172683,..,..,..,..,..,..,31.012
2021,YR2021,Croatia,HRV,31630.1766373982,..,3899000,..,..,..,..,99.4499969482422,..,57.878
2021,YR2021,Cyprus,CYP,41694.2578125,..,1244188,..,..,..,..,99.3600006103516,..,66.856
2021,YR2021,Czechia,CZE,40740.9939756632,..,10505772,..,..,..,..,..,..,74.214
2021,YR2021,Denmark,DNK,57962.6540943813,..,5856733,..,..,..,..,..,..,88.24
2021,YR2021,Estonia,EST,38717.6961505119,..,1330932,..,..,..,..,99.870002746582,..,69.415
2021,YR2021,Faroe Islands,FRO,..,..,52889,..,..,..,..,..,..,42.583
2021,YR2021,Finland,FIN,48753.3547090561,..,5541017,..,..,..,..,..,..,85.596
2021,YR2021,France,FRA,44993.1259455262,..,67749632,..,..,..,..,..,..,81.242
2021,YR2021,Georgia,GEO,15486.6589938955,..,3708610,..,..,..,..,..,95.1652221679688,59.872
2021,YR2021,Germany,DEU,53179.6544047515,..,83196078,..,..,..,..,..,..,77.544
2021,YR2021,Gibraltar,GIB,..,..,32669,..,..,..,..,..,..,100
2021,YR2021,Greece,GRC,29548.0389102217,..,10641221,..,..,..,..,..,..,80.038
2021,YR2021,Greenland,GRL,..,..,56653,..,..,..,..,..,..,87.507
2021,YR2021,Hungary,HUN,33593.1519691848,..,9709891,..,..,..,..,99.0999984741211,..,72.245
2021,YR2021,Iceland,ISL,53586.1556357122,..,372520,..,..,..,..,..,..,93.944
2021,YR2021,Ireland,IRL,102496.220004421,..,5033165,..,..,..,..,..,..,63.912
2021,YR2021,Isle of Man,IMN,..,..,84263,..,..,..,..,..,..,53.076
2021,YR2021,Italy,ITA,41929.4311112097,..,59109668,..,..,..,..,..,..,71.346
2021,YR2021,Kazakhstan,KAZ,26110.5300409561,..,19000988,..,..,..,..,..,..,57.821
2021,YR2021,Kosovo,XKX,11884.1799153897,..,1786038,..,..,..,..,..,..,..
2021,YR2021,Kyrgyz Republic,KGZ,4814.95643768875,..,6691800,..,..,..,..,..,98.5581207275391,37.146
2021,YR2021,Latvia,LVA,32081.4547187248,..,1884490,..,..,..,..,99.8899993896484,..,68.421
2021,YR2021,Liechtenstein,LIE,..,..,39039,..,..,..,..,..,..,14.471
2021,YR2021,Lithuania,LTU,39305.6130533838,..,2800839,..,..,..,..,99.8300018310547,..,68.249
2021,YR2021,Luxembourg,LUX,115683.493708265,..,640064,..,..,..,..,..,..,91.672
2021,YR2021,Moldova,MDA,14009.2260199103,..,2615199,..,..,..,..,99.5999984741211,107.693382263184,42.998
2021,YR2021,Monaco,MCO,..,..,36686,..,..,..,..,..,..,100
2021,YR2021,Montenegro,MNE,20598.8208057577,..,619211,..,..,..,..,98.9800033569336,88.9170684814453,67.826
2021,YR2021,Netherlands,NLD,56617.3517924422,..,17533044,..,..,..,..,..,..,92.572
2021,YR2021,North Macedonia,MKD,16464.3764821676,..,2065092,..,..,..,..,..,..,58.786
2021,YR2021,Norway,NOR,65662.1743876638,..,5408320,..,..,..,..,..,..,83.323
2021,YR2021,Poland,POL,34915.5235741243,..,37747124,..,..,..,..,99.8000030517578,..,60.075
2021,YR2021,Portugal,PRT,33674.5272009225,..,10325147,..,..,..,..,96.7799987792969,..,66.849
2021,YR2021,Romania,ROU,30771.4357160501,..,19119880,..,..,..,..,98.9000015258789,..,54.329
2021,YR2021,Russian Federation,RUS,27960.1015625,..,143449286,..,..,..,..,..,..,74.934
2021,YR2021,San Marino,SMR,..,..,33745,..,..,..,..,..,87.8947372436523,97.62
2021,YR2021,Serbia,SRB,19827.7568499272,..,6834326,..,..,..,..,..,95.7621917724609,56.651
2021,YR2021,Slovak Republic,SVK,31866.025082395,..,5447247,..,..,..,..,..,..,53.82
2021,YR2021,Slovenia,SVN,40036.4854356389,..,2108079,..,..,..,..,..,..,55.427
2021,YR2021,Spain,ESP,37913.0757304769,..,47415750,..,..,..,..,..,..,81.056
2021,YR2021,Sweden,SWE,53613.4217306257,..,10415811,..,..,..,..,..,..,88.238
2021,YR2021,Switzerland,CHE,71032.8412048308,..,8703405,..,..,..,..,..,..,73.996
2021,YR2021,Tajikistan,TJK,3903.32000724209,..,9750064,..,..,..,..,..,..,27.726
2021,YR2021,Turkiye,TUR,31466.5599244857,..,84775404,..,..,..,..,..,..,76.569
2021,YR2021,Turkmenistan,TKM,..,..,6341855,..,..,..,..,..,..,52.998
2021,YR2021,Ukraine,UKR,12943.6142578125,..,43792855,..,..,..,..,100,..,69.757
2021,YR2021,United Kingdom,GBR,44978.7147199494,..,67326569,..,..,..,..,..,..,84.152
2021,YR2021,Uzbekistan,UZB,7734.83241391999,..,34915100,..,..,..,..,..,..,50.427
2005,YR2005,Europe & Central Asia (excluding high income),ECA,15062.9080355301,2728718.52387277,372077135,..,99.879663133473,..,..,97.4933090209961,88.4651412963867,65.3475962879986
2005,YR2005,Albania,ALB,8040.10761850088,4030.00020980835,3011487,..,100,..,..,..,..,46.731
2005,YR2005,Andorra,AND,..,579.999983310699,79826,17.1976699829102,100,..,93.9136276245117,..,..,90.285
2005,YR2005,Armenia,ARM,7259.20389235415,4460.00003814697,3047246,..,99.8000030517578,..,..,..,96.7920684814453,63.938
2005,YR2005,Austria,AUT,49387.0278641202,76239.9978637695,8227829,..,100,..,..,..,..,58.813
2005,YR2005,Azerbaijan,AZE,7106.59790726031,30040.0009155273,8391850,..,99.2215957641602,..,..,..,82.8402633666992,52.389
2005,YR2005,Belarus,BLR,11940.1865961058,56779.9987792969,9663915,..,100,..,..,..,110.529350280762,72.354
2005,YR2005,Belgium,BEL,46342.1866093314,110610.000610352,10478617,..,100,..,..,..,..,97.403
2005,YR2005,Bosnia and Herzegovina,BIH,8599.63522437722,16229.9995422363,4094297,..,100,..,..,..,..,43.965
2005,YR2005,Bulgaria,BGR,14780.0991294472,47990.0016784668,7658972,..,100,..,..,..,..,70.584
2005,YR2005,Channel Islands,CHI,..,..,150763,..,100,..,..,..,..,30.743
2005,YR2005,Croatia,HRV,23793.0530384974,21450.0007629395,4310145,..,100,..,..,..,94.9471893310547,54.315
2005,YR2005,Cyprus,CYP,37723.33203125,7900.00009536743,1037062,..,100,..,91.6950073242188,..,99.8448181152344,68.268
2005,YR2005,Czechia,CZE,30384.4466487841,119989.99786377,10211216,..,100,..,..,..,91.9505462646484,73.602
2005,YR2005,Denmark,DNK,51483.273786293,50200.0007629395,5419432,..,100,..,..,..,..,85.856
2005,YR2005,Estonia,EST,26096.9883386237,17229.9995422363,1354775,..,100,..,..,..,104.532112121582,68.735
2005,YR2005,Faroe Islands,FRO,..,..,48291,..,100,..,..,..,..,39.781
2005,YR2005,Finland,FIN,44786.9096643071,55459.9990844727,5246096,..,100,..,..,..,103.398681640625,82.905
2005,YR2005,France,FRA,41638.0317796772,380660.003662109,63188395,..,100,..,98.6075897216797,..,89.9194412231445,77.13
2005,YR2005,Georgia,GEO,7315.19848048057,4239.99977111816,3902469,..,97.9350509643555,..,..,..,106.135963439941,53.605
2005,YR2005,Germany,DEU,43949.2881791796,802380.004882813,82469422,..,100,..,100,..,..,75.98
2005,YR2005,Gibraltar,GIB,..,..,29155,..,100,..,..,..,..,100
2005,YR2005,Greece,GRC,34670.1850265467,101949.996948242,10987314,..,100,..,92.0291366577148,93.0443115234375,90.0899963378906,74.452
2005,YR2005,Greenland,GRL,..,..,56935,..,100,..,..,..,..,82.858
2005,YR2005,Hungary,HUN,24414.5827800472,55919.9981689453,10087065,..,100,..,98.9780807495117,..,..,66.365
2005,YR2005,Iceland,ISL,48104.6518132004,2289.99996185303,296734,..,100,..,..,..,106.09928894043,93.037
2005,YR2005,Ireland,IRL,57548.9967906443,46650.0015258789,4159914,..,100,..,..,..,99.3231811523438,60.477
2005,YR2005,Isle of Man,IMN,..,..,79415,..,100,..,..,..,..,51.905
2005,YR2005,Italy,ITA,44260.8274173515,473829.986572266,57969484,..,100,..,92.2394104003906,..,103.685188293457,67.738
2005,YR2005,Kazakhstan,KAZ,16536.0154072377,169210.006713867,15147029,..,100,..,..,..,94.9908599853516,56.463
2005,YR2005,Kosovo,XKX,..,..,1705780,..,..,..,..,..,..,..
2005,YR2005,Kyrgyz Republic,KGZ,3517.72050884889,5300.00019073486,5162600,..,99.4423065185547,..,..,..,87.295539855957,35.29
2005,YR2005,Latvia,LVA,20331.7000316611,7710.00003814697,2238799,..,100,..,..,..,..,68
2005,YR2005,Liechtenstein,LIE,..,230.000004172325,34603,..,100,..,..,..,71.875,14.739
2005,YR2005,Lithuania,LTU,21053.1846048184,12829.9999237061,3322528,..,100,..,98.1073379516602,..,..,66.635
2005,YR2005,Luxembourg,LUX,108632.360015806,11909.9998474121,465158,..,100,..,..,..,..,86.598
2005,YR2005,Moldova,MDA,7229.14071089401,8180.00030517578,2888985,..,98.5999984741211,..,..,..,..,42.775
2005,YR2005,Monaco,MCO,..,..,32141,..,100,..,..,..,..,100
2005,YR2005,Montenegro,MNE,14048.8540252532,2000,614261,..,99.8302230834961,..,..,..,..,62.465
2005,YR2005,Netherlands,NLD,49467.4354267059,167929.992675781,16319868,..,100,..,98.2697982788086,..,..,82.63
2005,YR2005,North Macedonia,MKD,11213.668869449,9229.99954223633,2036855,..,100,..,..,..,90.224853515625,57.532
2005,YR2005,Norway,NOR,61870.3645561435,36349.9984741211,4623291,..,100,..,..,..,102.119422912598,77.675
2005,YR2005,Poland,POL,18844.5574819997,301350.006103516,38165445,..,100,..,..,..,96.4999084472656,61.452
2005,YR2005,Portugal,PRT,31076.6441205289,65470.0012207031,10503330,10.4475898742676,100,..,84.2229995727539,..,..,57.522
2005,YR2005,Romania,ROU,16863.4810766196,94709.9990844727,21319685,..,100,..,..,..,86.1837463378906,53.174
2005,YR2005,Russian Federation,RUS,20042.814453125,1611979.98046875,143518814,..,100,..,..,..,80.3317794799805,73.463
2005,YR2005,San Marino,SMR,81256.1442831494,..,29508,..,100,..,..,..,..,94.453
2005,YR2005,Serbia,SRB,12277.9995062936,50689.998626709,7440769,..,99.6907196044922,..,..,..,..,53.883
2005,YR2005,Slovak Republic,SVK,20026.0753787482,38520.0004577637,5372807,..,100,..,..,..,82.5945129394531,55.563
2005,YR2005,Slovenia,SVN,31128.8298416043,15920.0000762939,2000474,..,100,..,99.1942520141602,..,..,51.533
2005,YR2005,Spain,ESP,37942.0075754017,350500,43653155,..,100,..,85.9474563598633,97.7506866455078,..,77.263
2005,YR2005,Sweden,SWE,45440.2967492535,50209.9990844727,9029572,..,100,..,100,..,..,84.319
2005,YR2005,Switzerland,CHE,62040.4395660128,45849.9984741211,7437115,..,100,..,..,..,98.0241394042969,73.478
2005,YR2005,Tajikistan,TJK,1884.96075096521,2470.00002861023,6929145,..,99.3000030517578,..,..,..,85.5368194580078,26.51
2005,YR2005,Turkiye,TUR,18038.8129252324,235000,68704715,..,99.9870300292969,..,79.3439712524414,88.2290573120117,91.4694976806641,67.84
2005,YR2005,Turkmenistan,TKM,5477.9985097697,50590.0001525879,4885775,..,99.6492004394531,..,..,99.4000015258789,..,47.052
2005,YR2005,Ukraine,UKR,11319.5107421875,295410.003662109,47105171,..,99.8855590820313,..,..,..,103.462188720703,67.79
2005,YR2005,United Kingdom,GBR,42926.9927660957,540919.982910156,60401206,..,100,..,..,..,..,79.915
2005,YR2005,Uzbekistan,UZB,3626.62082440211,119190.002441406,26167000,..,99.7250823974609,..,..,..,92.9540786743164,48.537
2020,YR2020,Europe & Central Asia (excluding high income),ECA,21361.4354079983,..,400811771,..,99.9891957245421,..,..,99.1413803100586,104.922920227051,67.9883218820153
2020,YR2020,Albania,ALB,13253.7577989746,..,2837849,..,100,..,..,..,92.7028198242188,62.112
2020,YR2020,Andorra,AND,..,..,77700,..,100,..,..,..,..,87.916
2020,YR2020,Armenia,ARM,13357.697063743,..,2805608,24.2097206115723,100,..,99.3389282226563,99.7886123657227,90.1037521362305,63.313
2020,YR2020,Austria,AUT,51988.4158297933,..,8916864,..,100,..,..,..,96.1030197143555,58.748
2020,YR2020,Azerbaijan,AZE,13726.7696576885,..,10093121,..,100,..,..,..,101.288436889648,56.397
2020,YR2020,Belarus,BLR,19225.573834783,..,9379952,..,100,..,..,..,96.318229675293,79.483
2020,YR2020,Belgium,BEL,48978.9342485189,..,11538604,..,100,..,..,..,94.5321731567383,98.079
2020,YR2020,Bosnia and Herzegovina,BIH,14356.4233352863,..,3318407,10.5902099609375,100,..,91.4224395751953,..,..,49.02
2020,YR2020,Bulgaria,BGR,22479.5829396574,..,6934015,26.0534706115723,99.6999969482422,..,..,..,..,75.686
2020,YR2020,Channel Islands,CHI,..,..,171113,..,100,..,..,..,..,30.963
2020,YR2020,Croatia,HRV,26945.9078640121,..,4047680,..,100,..,..,..,97.9979934692383,57.553
2020,YR2020,Cyprus,CYP,39464.53515625,..,1237537,29.795259475708,100,..,95.987190246582,..,81.8366394042969,66.821
2020,YR2020,Czechia,CZE,38639.9795202601,..,10697858,..,100,..,..,..,92.7193908691406,74.061
2020,YR2020,Denmark,DNK,55518.5971009156,..,5831404,33.0904998779297,100,..,..,..,103.91667175293,88.116
2020,YR2020,Estonia,EST,35883.265325261,..,1329522,30.8465099334717,100,..,99.776496887207,..,100.804412841797,69.229
2020,YR2020,Faroe Islands,FRO,..,..,52415,..,100,..,..,..,..,42.398
2020,YR2020,Finland,FIN,47443.903598625,..,5529543,..,100,..,..,..,102.064949035645,85.517
2020,YR2020,France,FRA,42233.1396001127,..,67571107,..,100,..,..,..,100.112731933594,80.975
2020,YR2020,Georgia,GEO,13966.3263350166,..,3722716,..,100,..,..,..,111.963500976563,59.453
2020,YR2020,Germany,DEU,51840.3296919358,..,83160871,28.3500003814697,100,..,100,..,..,77.453
2020,YR2020,Gibraltar,GIB,..,..,32709,..,100,..,..,..,91.7748870849609,100
2020,YR2020,Greece,GRC,27103.5409073372,..,10698599,26.0435390472412,100,..,96.4685211181641,..,93.5864410400391,79.715
2020,YR2020,Greenland,GRL,..,..,56367,..,100,..,..,..,..,87.282
2020,YR2020,Hungary,HUN,31231.5959420002,..,9750149,24.0824909210205,100,..,99.6724624633789,..,95.6001892089844,71.942
2020,YR2020,Iceland,ISL,52174.5723818771,..,366463,36.6183090209961,100,..,..,..,102.760383605957,93.898
2020,YR2020,Ireland,IRL,91099.7485419568,..,4985382,..,100,..,..,..,100.31714630127,63.653
2020,YR2020,Isle of Man,IMN,..,..,84046,..,100,..,..,..,..,52.898
2020,YR2020,Italy,ITA,39065.2820998578,..,59438851,16.5459804534912,100,..,96.7274398803711,..,98.6570434570313,71.039
2020,YR2020,Kazakhstan,KAZ,25361.5079910763,..,18755666,..,100,..,..,99.8000030517578,104.026916503906,57.671
2020,YR2020,Kosovo,XKX,10706.5139756298,..,1790133,..,..,..,..,..,..,..
2020,YR2020,Kyrgyz Republic,KGZ,4726.19655886361,..,6579900,..,99.9810485839844,..,..,..,103.898597717285,36.856
2020,YR2020,Latvia,LVA,30568.5018156322,..,1900449,..,100,..,..,..,98.348388671875,68.315
2020,YR2020,Liechtenstein,LIE,..,..,38756,..,100,..,..,..,100,14.416
2020,YR2020,Lithuania,LTU,37166.4115832708,..,2794885,38.103458404541,100,..,99.2120971679688,..,100.912040710449,68.046
2020,YR2020,Luxembourg,LUX,111751.314751362,..,630419,..,100,..,..,..,..,91.453
2020,YR2020,Moldova,MDA,12201.7782985285,..,2635130,..,100,..,..,..,106.668037414551,42.849
2020,YR2020,Monaco,MCO,..,..,36922,..,100,..,..,..,..,100
2020,YR2020,Montenegro,MNE,18258.97636675,..,621306,..,100,..,..,..,89.6899337768555,67.488
2020,YR2020,Netherlands,NLD,54275.0030465677,..,17441500,34.7736282348633,100,..,98.5624618530273,..,..,92.236
2020,YR2020,North Macedonia,MKD,15779.7301930183,..,2072531,21.6756992340088,100,..,93.6417922973633,..,83.039192199707,58.482
2020,YR2020,Norway,NOR,63548.0008158322,..,5379475,..,100,..,..,..,100.306610107422,82.974
2020,YR2020,Poland,POL,32546.8259419319,..,37899070,28.0126800537109,100,..,99.2841186523438,..,..,60.043
2020,YR2020,Portugal,PRT,32011.3251586829,..,10297081,22.5076999664307,100,..,93.9047470092773,..,99.2940063476563,66.31
2020,YR2020,Romania,ROU,29057.2846039286,..,19265250,..,100,..,..,..,86.893913269043,54.194
2020,YR2020,Russian Federation,RUS,26583.796875,..,144073139,..,100,..,..,99.6999969482422,..,74.754
2020,YR2020,San Marino,SMR,56364.2141631912,..,34007,..,100,..,..,..,88.7955169677734,97.499
2020,YR2020,Serbia,SRB,18262.7064015108,..,6899126,..,100,..,..,..,95.2396621704102,56.446
2020,YR2020,Slovak Republic,SVK,30867.9723975671,..,5458827,..,100,..,..,..,77.0432434082031,53.76
2020,YR2020,Slovenia,SVN,37098.119340397,..,2102419,..,100,..,..,..,94.1305618286133,55.118
2020,YR2020,Spain,ESP,35967.8915333896,..,47365655,23.578010559082,100,..,93.2168121337891,98.5944595336914,95.7126617431641,80.81
2020,YR2020,Sweden,SWE,51331.2822226344,..,10353442,..,100,..,..,..,107.00057220459,87.977
2020,YR2020,Switzerland,CHE,68670.2394154478,..,8638167,..,100,..,..,..,97.0475006103516,73.915
2020,YR2020,Tajikistan,TJK,3651.94210742063,..,9543207,..,99.779296875,..,..,..,..,27.506
2020,YR2020,Turkiye,TUR,28473.2058583828,..,84135428,..,100,..,..,..,122.514991760254,76.105
2020,YR2020,Turkmenistan,TKM,..,..,6250438,..,100,..,..,..,..,52.516
2020,YR2020,Ukraine,UKR,12407.7900390625,..,44132049,..,100,..,..,..,..,69.608
2020,YR2020,United Kingdom,GBR,41984.1057181241,..,67081000,37.2764701843262,100,..,100,..,99.1430816650391,83.903
2020,YR2020,Uzbekistan,UZB,7344.22032645632,..,34232050,..,100,..,..,..,97.5283203125,50.416
2004,YR2004,Europe & Central Asia (excluding high income),ECA,14089.5397299578,2712364.3718695,371533136,..,99.9018711730208,..,..,97.2787704467773,88.5476989746094,65.1566576097591
2004,YR2004,Albania,ALB,7580.15285456245,4250,3026939,..,100,..,..,..,..,45.651
2004,YR2004,Andorra,AND,..,560.000002384186,76933,16.3115901947021,100,..,97.7652435302734,..,..,90.751
2004,YR2004,Armenia,ARM,6334.85615310927,3759.99999046326,3065745,..,99.1892318725586,..,..,..,89.2915878295898,64.038
2004,YR2004,Austria,AUT,48633.2718157639,75800.0030517578,8171966,..,100,..,..,..,..,59.094
2004,YR2004,Azerbaijan,AZE,5610.76313748494,28309.9994659424,8306500,..,99.0747985839844,..,..,..,83.6433715820313,52.189
2004,YR2004,Belarus,BLR,10839.9562728165,56040.0009155273,9730146,..,100,..,..,..,106.166976928711,71.887
2004,YR2004,Belgium,BEL,45540.4669120107,114019.996643066,10421137,..,100,..,..,..,..,97.35
2004,YR2004,Bosnia and Herzegovina,BIH,8180.03880818132,15569.9996948242,4142860,..,100,..,..,..,..,43.648
2004,YR2004,Bulgaria,BGR,13702.3412525049,47270.0004577637,7716860,..,100,..,..,..,..,70.233
2004,YR2004,Channel Islands,CHI,..,..,149538,..,100,..,..,..,..,30.681
2004,YR2004,Croatia,HRV,22849.6528412662,21100.0003814697,4304600,..,100,..,..,..,..,54.147
2004,YR2004,Cyprus,CYP,36499.234375,7780.00020980835,1018684,..,100,..,89.1342391967773,..,98.7372589111328,68.41
2004,YR2004,Czechia,CZE,28542.2548172745,123440.002441406,10197101,..,100,..,..,..,91.8294219970703,73.671
2004,YR2004,Denmark,DNK,50446.5416048985,53729.9995422363,5404523,..,100,..,..,..,..,85.566
2004,YR2004,Estonia,EST,23691.1529865284,17020.0004577637,1362550,..,100,..,..,..,100.281600952148,68.862
2004,YR2004,Faroe Islands,FRO,..,..,47989,..,100,..,..,..,..,39.247
2004,YR2004,Finland,FIN,43724.9661225981,67680.0003051758,5228172,..,100,..,..,..,104.269859313965,82.772
2004,YR2004,France,FRA,41265.1269211355,377790.008544922,62716306,..,100,..,98.3435821533203,..,..,76.883
2004,YR2004,Georgia,GEO,6632.81426469502,3369.99988555908,3927340,..,99.9300003051758,..,..,..,92.5615463256836,53.218
2004,YR2004,Germany,DEU,43605.2786723109,821070.007324219,82516260,..,100,..,100,..,..,75.779
2004,YR2004,Gibraltar,GIB,..,..,28716,..,100,..,..,..,..,100
2004,YR2004,Greece,GRC,34564.9112761871,99839.9963378906,10955141,..,100,..,..,..,..,74.073
2004,YR2004,Greenland,GRL,..,..,56911,..,100,..,..,..,..,82.58
2004,YR2004,Hungary,HUN,23362.8116037033,56349.9984741211,10107146,..,100,..,..,..,..,65.896
2004,YR2004,Iceland,ISL,46051.74388765,2319.9999332428,292074,..,100,..,..,..,111.923263549805,92.914
2004,YR2004,Ireland,IRL,55623.8868409015,44689.998626709,4070262,..,100,..,..,..,97.8605499267578,60.202
2004,YR2004,Isle of Man,IMN,..,..,78677,..,100,..,..,..,..,51.887
